Date,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise,neutral,comment_count
2023-09-07,0.31436175,0.38455182,0.46949524,0.5320197,0.47320268,0.54071957,0.64453644,0.6635716,0.54111487,0.4272595,0.51781714,0.3972251,0.49023214,0.52995926,0.35250226,0.24643505,0.39716816,0.25908133,0.19262844,0.41419396,0.29015282,0.39940232,0.6023777,0.3635856,0.5050674,0.3900584,0.56013906,0.35907808,91
2023-09-08,0.33189481,0.38044494,0.4694726,0.5013637,0.498856,0.5495333,0.6404508,0.63663924,0.5648175,0.4031314,0.5346806,0.38143313,0.4710311,0.55895096,0.3819076,0.23600507,0.40590698,0.25637567,0.21278019,0.42879367,0.26966995,0.3862345,0.595641,0.37081176,0.51675266,0.36316967,0.5560539,0.3615058,40
2023-09-09,0.22022827,0.3171864,0.59816045,0.60569495,0.42939416,0.43437424,0.68049425,0.56305164,0.5701285,0.59351593,0.62953526,0.528786,0.56992877,0.49100342,0.45385557,0.17620862,0.5039853,0.18001303,0.14187363,0.4621888,0.2083662,0.32994246,0.50150126,0.27723524,0.5186869,0.47460556,0.51074433,0.32099727,19
2023-09-10,0.32707888,0.4073861,0.5023062,0.51336837,0.4846263,0.519625,0.5727323,0.6257182,0.5574879,0.42460415,0.55283266,0.44670695,0.48688972,0.55591196,0.38422266,0.2726123,0.405072,0.26401204,0.18957995,0.45209405,0.2917847,0.39620146,0.60544765,0.34627423,0.48999304,0.37953505,0.5589253,0.33338892,52
2023-09-11,0.27207235,0.28264645,0.4923081,0.50849676,0.475829,0.5086805,0.59745646,0.5980142,0.54230523,0.54815847,0.6020686,0.5155084,0.5595653,0.45779574,0.3929473,0.22452106,0.50020623,0.202647,0.17092866,0.37609503,0.23269166,0.34343323,0.5963203,0.3023112,0.5445852,0.53009915,0.52462757,0.33244905,239
2023-09-12,0.2649544,0.34263393,0.47811726,0.54378784,0.41924545,0.46434146,0.6609292,0.6384299,0.5032415,0.51599604,0.57862544,0.51393247,0.5667856,0.48227042,0.36582834,0.249279,0.44230914,0.21609885,0.19149747,0.39027786,0.22889248,0.33237946,0.5624968,0.27179292,0.4905331,0.4563262,0.5882857,0.29205662,29
2023-09-13,0.26712507,0.3005318,0.5191621,0.58153623,0.43760273,0.5024321,0.64621764,0.588843,0.5472839,0.5197682,0.6233252,0.5016914,0.55830526,0.4511165,0.3598864,0.2579313,0.4204278,0.22613713,0.19341972,0.38192984,0.24801505,0.37894917,0.6095468,0.3207501,0.5243549,0.4293819,0.510533,0.33751732,83
2023-09-14,0.27554518,0.3280412,0.5170412,0.5706909,0.47019804,0.5285746,0.6715118,0.6257194,0.55663615,0.49281183,0.604773,0.46365777,0.5242666,0.4865877,0.36572018,0.24542974,0.40740573,0.22164994,0.18772177,0.37357837,0.25266048,0.35164654,0.5648089,0.32564405,0.52031827,0.41234103,0.5483883,0.36432093,89
2023-09-15,0.5713312,0.48653767,0.37488604,0.343193,0.5582046,0.59733963,0.3301737,0.5232434,0.48093748,0.25366658,0.38077313,0.3374922,0.3503645,0.54976004,0.24376616,0.44068363,0.2859611,0.51716775,0.3581855,0.28927168,0.46499267,0.55382174,0.66798604,0.5291606,0.40365225,0.2441504,0.5447028,0.37472075,7
2023-09-16,0.25733012,0.36717784,0.56051934,0.6235011,0.38855392,0.497777,0.7621069,0.787033,0.5388364,0.39071265,0.59853333,0.4060231,0.52013236,0.60727084,0.37072662,0.2163868,0.35757846,0.22505268,0.17843387,0.45800304,0.24276634,0.362804,0.58077335,0.26168925,0.50167173,0.3285518,0.59805393,0.24266088,5
2023-09-17,0.24579458,0.27993542,0.46358117,0.57940274,0.43112713,0.46502814,0.6902545,0.57140946,0.5234292,0.6196046,0.6347704,0.5133914,0.5759625,0.43491843,0.42967722,0.17568222,0.5037656,0.15870504,0.1472227,0.44503117,0.18021771,0.28778702,0.5451955,0.23152435,0.5891774,0.5522411,0.5448783,0.27307624,8
2023-09-18,0.36186305,0.6330053,0.5479988,0.5796757,0.42624164,0.37972227,0.5910972,0.5607079,0.5273242,0.5128656,0.5924428,0.38919038,0.48881617,0.55200374,0.36887217,0.2505136,0.39338022,0.36886737,0.19892305,0.39686006,0.29442674,0.42635372,0.47316235,0.3830707,0.46135318,0.36899164,0.5500735,0.31814945,4
2023-09-19,0.14904477,0.19143727,0.589497,0.77589065,0.31534573,0.30738476,0.83901,0.6740574,0.5766953,0.8369315,0.79553545,0.6631624,0.66848904,0.48936406,0.31355748,0.1304126,0.49545768,0.10889377,0.08862606,0.30331564,0.14168406,0.22090948,0.4367858,0.15510887,0.48481867,0.6838592,0.70632166,0.19669239,1
2023-09-20,0.40079463,0.5175704,0.36502048,0.4705192,0.54097366,0.5766636,0.54948205,0.63755393,0.5386912,0.3791602,0.4443867,0.33788702,0.42505202,0.57624716,0.29076982,0.30597502,0.33922294,0.37619954,0.2470817,0.38621008,0.32147798,0.43176335,0.58442533,0.4052965,0.46975845,0.30952775,0.5534172,0.3516459,173
2023-09-21,0.3154927,0.31197113,0.44958076,0.5089288,0.5172348,0.5613322,0.63600165,0.62861943,0.5670854,0.48692682,0.5354645,0.4310313,0.5273766,0.5379271,0.33774972,0.2551856,0.40434465,0.26208982,0.20687598,0.3501185,0.28796193,0.38866416,0.59334666,0.34364787,0.49220988,0.41946504,0.5421615,0.34775743,49
2023-09-22,0.26120326,0.28134632,0.41973016,0.5825119,0.48215273,0.5577368,0.7571103,0.68077165,0.5516091,0.56199986,0.5857837,0.46628776,0.5685449,0.429611,0.42141175,0.22121085,0.36669442,0.20641913,0.17286246,0.38359734,0.26795414,0.36875013,0.62526554,0.33071625,0.5016113,0.4213858,0.57592773,0.36442897,6
2023-09-23,0.42005208,0.4170606,0.38848943,0.40310842,0.57994413,0.5828744,0.5052664,0.59679085,0.5164748,0.36140543,0.4961538,0.42303208,0.41851443,0.52326006,0.38755152,0.3035975,0.37915033,0.35965398,0.24701266,0.36652452,0.35216713,0.4532239,0.62821347,0.4094469,0.46992213,0.35976267,0.5111738,0.41640034,14
2023-09-24,0.37509233,0.38828826,0.41458148,0.48526013,0.5277198,0.54430485,0.5789192,0.63036746,0.58184034,0.44147536,0.51232505,0.36399746,0.42838553,0.5249924,0.33272135,0.25607452,0.3423954,0.29210687,0.18947491,0.3434806,0.32215643,0.43469888,0.6441433,0.3986216,0.48482493,0.31898195,0.5809546,0.4115768,23
2023-09-25,0.34922498,0.4344685,0.46378526,0.54131067,0.47714746,0.50437444,0.58421373,0.60563713,0.554877,0.41301998,0.5065472,0.41061467,0.483798,0.58116907,0.32998326,0.2858427,0.37092906,0.29859388,0.22915661,0.4306624,0.29209214,0.41426027,0.6011869,0.3679476,0.4682186,0.34602743,0.5436087,0.31070292,124
2023-09-26,0.34080762,0.45355687,0.49230367,0.5390307,0.47695935,0.48390263,0.5785406,0.58815366,0.5684901,0.44432542,0.53195167,0.43241516,0.49438173,0.56316173,0.3412148,0.25735915,0.37688217,0.29922044,0.22275677,0.42083454,0.28501442,0.41932365,0.59373367,0.35999855,0.46861938,0.3461823,0.53270274,0.31941834,190
2023-09-27,0.30721042,0.40314782,0.4912097,0.5580928,0.44033813,0.4753402,0.5850556,0.5895179,0.5169783,0.46639806,0.5493423,0.47171566,0.5423916,0.5350519,0.38244346,0.2542738,0.40039387,0.2804663,0.212337,0.46531585,0.28021133,0.3867269,0.5728931,0.3550089,0.4702918,0.36798602,0.5155316,0.32053062,22
2023-09-28,0.31667238,0.43353042,0.4451493,0.57870984,0.47182888,0.5138495,0.6203202,0.6289615,0.5415795,0.4798746,0.5497633,0.43302047,0.5100727,0.52579916,0.3274337,0.25972378,0.3763157,0.27366644,0.19838792,0.4024919,0.28871483,0.38771376,0.58022404,0.34095037,0.49455848,0.3641082,0.55667675,0.31718603,288
