fin_ver,threshold,groups,n_features,cv_f1,holdout_f1,n_train,n_holdout
vol3d,0.5%,MKT+EMO,148,0.3555,0.4026,4165,952
vol3d,0.5%,FIN+MKT+EMO,158,0.3638,0.398,4165,952
vol3d,0.5%,FIN+MKT+EMO+ECON,170,0.3561,0.3972,4165,952
vol3d,0.5%,MKT+EMO+ECON,160,0.3554,0.3955,4165,952
vol3d,0.5%,FIN,136,0.3579,0.3899,4165,952
vol3d,0.5%,MKT,136,0.3507,0.3848,4165,952
vol3d,0.5%,FIN+ECON,148,0.3545,0.3815,4165,952
vol3d,0.5%,FIN+MKT,146,0.3602,0.3803,4165,952
vol3d,0.5%,FIN+EMO,148,0.3656,0.3648,4165,952
vol3d,0.5%,ECON,138,0.3392,0.3601,4165,952
vol3d,0.5%,FIN+MKT+ECON,158,0.3221,0.3564,4165,952
vol3d,0.5%,FIN+EMO+ECON,160,0.3512,0.3556,4165,952
vol3d,0.5%,MKT+ECON,148,0.3267,0.3446,4165,952
vol3d,0.5%,EMO+ECON,150,0.365,0.3328,4165,952
vol3d,0.5%,EMO,138,0.367,0.3302,4165,952
vol3d,0.7%,FIN+MKT+EMO,158,0.3573,0.438,4165,952
vol3d,0.7%,FIN+MKT,146,0.3642,0.417,4165,952
vol3d,0.7%,FIN+MKT+ECON,158,0.3335,0.4142,4165,952
vol3d,0.7%,MKT,136,0.3575,0.4105,4165,952
vol3d,0.7%,FIN,136,0.3741,0.4068,4165,952
vol3d,0.7%,FIN+MKT+EMO+ECON,170,0.3564,0.4068,4165,952
vol3d,0.7%,MKT+EMO+ECON,160,0.3702,0.4049,4165,952
vol3d,0.7%,MKT+EMO,148,0.3587,0.4043,4165,952
vol3d,0.7%,MKT+ECON,148,0.3436,0.4037,4165,952
vol3d,0.7%,FIN+ECON,148,0.3416,0.3808,4165,952
vol3d,0.7%,FIN+EMO+ECON,160,0.3677,0.368,4165,952
vol3d,0.7%,EMO+ECON,150,0.3635,0.3675,4165,952
vol3d,0.7%,FIN+EMO,148,0.3736,0.3649,4165,952
vol3d,0.7%,ECON,138,0.3335,0.3624,4165,952
vol3d,0.7%,EMO,138,0.3822,0.3552,4165,952
vol3d,1.0%,EMO+ECON,150,0.3827,0.4327,4165,952
vol3d,1.0%,FIN+MKT,146,0.3821,0.4213,4165,952
vol3d,1.0%,MKT+EMO+ECON,160,0.3642,0.4197,4165,952
vol3d,1.0%,FIN+MKT+EMO+ECON,170,0.3666,0.4185,4165,952
vol3d,1.0%,MKT+EMO,148,0.368,0.4177,4165,952
vol3d,1.0%,FIN+MKT+EMO,158,0.3775,0.4142,4165,952
vol3d,1.0%,FIN+EMO+ECON,160,0.3716,0.4131,4165,952
vol3d,1.0%,MKT,136,0.3764,0.4098,4165,952
vol3d,1.0%,FIN+MKT+ECON,158,0.3566,0.407,4165,952
vol3d,1.0%,FIN+ECON,148,0.3474,0.4041,4165,952
vol3d,1.0%,ECON,138,0.353,0.4026,4165,952
vol3d,1.0%,FIN+EMO,148,0.3943,0.4008,4165,952
vol3d,1.0%,MKT+ECON,148,0.3425,0.3986,4165,952
vol3d,1.0%,FIN,136,0.3869,0.3876,4165,952
vol3d,1.0%,EMO,138,0.388,0.3861,4165,952
vol5d,0.5%,FIN+MKT+EMO+ECON,170,0.3706,0.4262,4165,952
vol5d,0.5%,FIN+MKT+EMO,158,0.3571,0.426,4165,952
vol5d,0.5%,MKT+EMO,148,0.3555,0.4026,4165,952
vol5d,0.5%,MKT+EMO+ECON,160,0.3554,0.3955,4165,952
vol5d,0.5%,FIN,136,0.3549,0.3954,4165,952
vol5d,0.5%,MKT,136,0.3507,0.3848,4165,952
vol5d,0.5%,FIN+ECON,148,0.3549,0.3839,4165,952
vol5d,0.5%,FIN+MKT,146,0.3478,0.3787,4165,952
vol5d,0.5%,FIN+MKT+ECON,158,0.3211,0.3767,4165,952
vol5d,0.5%,ECON,138,0.3392,0.3601,4165,952
vol5d,0.5%,FIN+EMO,148,0.3609,0.3538,4165,952
vol5d,0.5%,MKT+ECON,148,0.3267,0.3446,4165,952
vol5d,0.5%,FIN+EMO+ECON,160,0.3558,0.342,4165,952
vol5d,0.5%,EMO+ECON,150,0.365,0.3328,4165,952
vol5d,0.5%,EMO,138,0.367,0.3302,4165,952
vol5d,0.7%,FIN+MKT,146,0.3764,0.4167,4165,952
vol5d,0.7%,FIN,136,0.3732,0.4139,4165,952
vol5d,0.7%,FIN+MKT+EMO+ECON,170,0.3673,0.4114,4165,952
vol5d,0.7%,MKT,136,0.3575,0.4105,4165,952
vol5d,0.7%,MKT+EMO+ECON,160,0.3702,0.4049,4165,952
vol5d,0.7%,MKT+EMO,148,0.3587,0.4043,4165,952
vol5d,0.7%,MKT+ECON,148,0.3436,0.4037,4165,952
vol5d,0.7%,FIN+MKT+EMO,158,0.3838,0.4021,4165,952
vol5d,0.7%,FIN+MKT+ECON,158,0.3508,0.401,4165,952
vol5d,0.7%,FIN+ECON,148,0.3484,0.379,4165,952
vol5d,0.7%,FIN+EMO+ECON,160,0.3537,0.3765,4165,952
vol5d,0.7%,EMO+ECON,150,0.3635,0.3675,4165,952
vol5d,0.7%,ECON,138,0.3335,0.3624,4165,952
vol5d,0.7%,EMO,138,0.3822,0.3552,4165,952
vol5d,0.7%,FIN+EMO,148,0.3762,0.3486,4165,952
vol5d,1.0%,EMO+ECON,150,0.3827,0.4327,4165,952
vol5d,1.0%,FIN+MKT+ECON,158,0.3477,0.4283,4165,952
vol5d,1.0%,FIN+MKT,146,0.3839,0.4274,4165,952
vol5d,1.0%,MKT+EMO+ECON,160,0.3642,0.4197,4165,952
vol5d,1.0%,MKT+EMO,148,0.368,0.4177,4165,952
vol5d,1.0%,FIN+MKT+EMO,158,0.3829,0.4141,4165,952
vol5d,1.0%,FIN+MKT+EMO+ECON,170,0.3571,0.4139,4165,952
vol5d,1.0%,MKT,136,0.3764,0.4098,4165,952
vol5d,1.0%,FIN+ECON,148,0.3512,0.4078,4165,952
vol5d,1.0%,ECON,138,0.353,0.4026,4165,952
vol5d,1.0%,FIN,136,0.3777,0.4017,4165,952
vol5d,1.0%,MKT+ECON,148,0.3425,0.3986,4165,952
vol5d,1.0%,FIN+EMO+ECON,160,0.3664,0.3864,4165,952
vol5d,1.0%,EMO,138,0.388,0.3861,4165,952
vol5d,1.0%,FIN+EMO,148,0.3813,0.3856,4165,952
